"Inspection","Requirement","IsMet","Comment","ResultImage"
,"42","True",,
,"25","Fałsz","rttyfghjgh","Reserved_ImageAttachment_[11]_[ResultImage][32]_[2ab79f80246146738568c621a50996f8][1]_[1].jpeg"
,"26","Fałsz","ghhjbhjvv","Reserved_ImageAttachment_[11]_[ResultImage][32]_[38102cf1f1134e1f9f15c0505790b07b][1]_[1].jpeg"
,"27","Fałsz","drtfjhhbn","Reserved_ImageAttachment_[11]_[ResultImage][32]_[4ac6a1754f63444988c274696a9b0b46][1]_[1].jpeg"
,"28","Fałsz","bjhbhbvhgv","Reserved_ImageAttachment_[11]_[ResultImage][32]_[b9e54ba69bbe4de1a43bfd08da765100][1]_[1].jpeg"
,"29","Fałsz","fjyghbhbvj","Reserved_ImageAttachment_[11]_[ResultImage][32]_[ada297af0580401dadf61082e2a2bc9b][1]_[1].jpeg"
,"30","Fałsz","fthfjhbvv","Reserved_ImageAttachment_[11]_[ResultImage][32]_[493440a8fa2b40ac9991f716c9dcc14f][1]_[1].jpeg"
,"25","True","tumnsbvtr","Reserved_ImageAttachment_[11]_[ResultImage][32]_[a3537f949c7f4651956039d5b8ed594f][1]_[1].jpeg"
,"26","True","j,muyttg4wr","Reserved_ImageAttachment_[11]_[ResultImage][32]_[16225f12f6fa4b71ac35b34af6fc8cd5][1]_[1].jpeg"
,"27","True","kumyf tbv","Reserved_ImageAttachment_[11]_[ResultImage][32]_[16193b2c17c34fe38511f90922f3c910][1]_[1].jpeg"
,"28","True","imdynnyr","Reserved_ImageAttachment_[11]_[ResultImage][32]_[26e6aaf13dff4054b3ba4e5476497b7c][1]_[1].jpeg"
,"29","True",",ymfnsba","Reserved_ImageAttachment_[11]_[ResultImage][32]_[3d139591776b4240a0402efbadc40b1f][1]_[1].jpeg"
,"30","True","smne\v\n","Reserved_ImageAttachment_[11]_[ResultImage][32]_[daa810a48d7241b3b20242c1cdbf1aa9][1]_[1].jpeg"
,"37","Fałsz","bvvv","Reserved_ImageAttachment_[11]_[ResultImage][32]_[6faed864e0114b3aaad1132d747065a0][1]_[1].png"
,"38","True",,
,"39","True",,
,"40","True",,
,"41","True",,
,"42","True",,
,"37","True",,
,"38","True",,
,"39","True",,
,"40","True",,
,"41","True",,
,"42","True",,
"43","37","True",,
"43","38","True",,
"43","39","True",,
"43","40","True",,
"43","41","True",,
"43","42","True",,
"44","13","True",,
"44","14","True",,
"44","15","True",,
"44","16","True",,
"44","17","True",,
"44","18","True",,
"45","31","True",,
"45","32","True",,
"45","33","True",,
"45","34","True",,
"45","35","True",,
"45","36","True",,
"46","25","True",,
"46","26","Fałsz","Nie działa jeden z klimatyzatorów, nie działa pilot do klimy",
"46","27","True",,
"46","28","True",,
"46","29","True",,
"46","30","True",,
"48","37","True",,
"48","38","True",,
"48","39","True",,
"48","40","True",,
"48","41","True",,
"48","42","True",,
"49","25","True",,
"49","26","True",,
"49","27","Fałsz","Niezbyt czysta podloga, smieci","Reserved_ImageAttachment_[11]_[ResultImage][32]_[d46ae5921d73439f8f073c01bb4fa0ac][1]_[1].jpeg"
"49","28","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[faeac023b92e43fa9e0ef08736c536ee][1]_[1].jpeg"
"49","29","True",,
"49","30","True",,
"50","19","True",,
"50","20","Fałsz","Klima nice dziala problem z czujniksmi od drzwi","Reserved_ImageAttachment_[11]_[ResultImage][32]_[d76f88aa3b344994a8c36b43bfe1dae9][1]_[1].jpeg"
"50","21","True",,
"50","22","True",,
"50","23","True",,
"50","24","True",,
"51","13","True",,
"51","14","True",,
"51","15","True",,
"51","16","True",,
"51","17","True",,
"51","18","True",,
"52","37","True",,
"52","38","True",,
"52","39","True",,
"52","40","True",,
"52","41","True",,
"52","42","True",,
"53","13","True",,
"53","14","True",,
"53","15","Fałsz","Brinda podłoga","Reserved_ImageAttachment_[11]_[ResultImage][32]_[e3fb5991c95a473aaa6040a91cde611e][1]_[1].jpeg"
"53","16","True",,
"53","17","True",,
"53","18","True",,
"55","19","Fałsz","brak kłódki - mozliwosc wejscia dla kazdego",
"55","20","Fałsz","streak klimstyzatora - pokazuje 25C","Reserved_ImageAttachment_[11]_[ResultImage][32]_[419685a889ee4e0ab880f509870aafb8][1]_[1].jpeg"
"55","21","True",,
"55","22","True",,
"55","23","True",,
"55","24","True",,
"56","25","True",,
"56","26","Fałsz","Jeden z klimatyzatorow nie chodzi","Reserved_ImageAttachment_[11]_[ResultImage][32]_[b86383bfbdc146fba2147e98bbbe5365][1]_[1].jpeg"
"56","27","Fałsz","Brudna podłoga","Reserved_ImageAttachment_[11]_[ResultImage][32]_[273fccc982e842d397a7a53201f3121b][1]_[1].jpeg"
"56","28","True",,
"56","29","True",,
"56","30","True","w szafach znajdują sie przedmioty","Reserved_ImageAttachment_[11]_[ResultImage][32]_[981c7a9940384b2782b179688dd8b088][1]_[1].jpeg"
,"37","True",,
,"38","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[94a9d50acf1c49ddb7de5d12ae72d30b][1]_[1].jpeg"
,"39","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[f31f3c6a7807458cab9b803976c17fea][1]_[1].jpeg"
,"40","True",,
,"41","True",,
,"42","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[811b8391ebe347f698aa298ffbdd2f2d][1]_[1].jpeg"
"58","37","Fałsz","greva","Reserved_ImageAttachment_[11]_[ResultImage][32]_[4c739297626948dd8b55dd532dba1175][1]_[1].jpeg"
"58","38","Fałsz","hytjt","Reserved_ImageAttachment_[11]_[ResultImage][32]_[ed6b639b93494a25984bc0896ca41ef6][1]_[1].jpeg"
"58","39","Fałsz","fdarathtr","Reserved_ImageAttachment_[11]_[ResultImage][32]_[6feae2c6f2e9426da291e91f71384514][1]_[1].jpeg"
"58","40","Fałsz","fasdf","Reserved_ImageAttachment_[11]_[ResultImage][32]_[6ede63fb35374e32a48671fb6f1ef547][1]_[1].jpeg"
"58","41","Fałsz","afas","Reserved_ImageAttachment_[11]_[ResultImage][32]_[7ea590911d064ea298104b20ee54b8e7][1]_[1].jpeg"
"58","42","Fałsz","csdf","Reserved_ImageAttachment_[11]_[ResultImage][32]_[6d2cbe70634242e3bc64771dd0f17725][1]_[1].jpeg"
"59","37","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[8f0001acc33a44f3b2f78e0cbe5689b3][1]_[1].png"
"59","38","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[4db9c4c9af4d4af58da5f9742beb50a5][1]_[1].png"
"59","39","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[261c6168ef6d4aadbcd88e2b7bfe9e8a][1]_[1].png"
"59","40","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[58a6724c8655444ca7d17ae4621ea21a][1]_[1].png"
"59","41","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[342e1188de5b4f1492b924cd132c6360][1]_[1].png"
"59","42","True",,"Reserved_ImageAttachment_[11]_[ResultImage][32]_[9d75cdcc035b424aad456fedf65429db][1]_[1].png"
"60","37","True",,
"60","38","True",,
"60","39","Fałsz","Przechowywane elementy po szafkach z magazynku IT",
"60","40","True",,
"60","41","True",,
"60","42","True",,
"61","25","Fałsz","brak kłódki zabezpieczającej wejście do serwerowni","Reserved_ImageAttachment_[11]_[ResultImage][32]_[71cca52393dc4028ada470e7ac94cb0a][1]_[1].jpeg"
"61","26","True",,
"61","27","True",,
"61","28","True",,
"61","29","True",,
"61","30","True",,
"62","19","True",,
"62","20","True",,
"62","21","True",,
"62","22","True",,
"62","23","True",,
"62","24","True",,
"63","13","True",,
"63","14","Fałsz","nie działala klima temperatura przy wejsciu temperatura 24 stopni",
"63","15","Fałsz","brudna podloga","Reserved_ImageAttachment_[11]_[ResultImage][32]_[46b96b4c45634f708116462c201413f5][1]_[1].jpeg"
"63","16","True",,
"63","17","True",,
"63","18","True",,
"64","13","True",,
"64","14","True",,
"64","15","Fałsz","podloga",
"64","16","True",,
"64","17","True",,
"64","18","True",,
"65","19","Fałsz","zamek",
"65","20","True",,
"65","21","True",,
"65","22","True",,
"65","23","True",,
"65","24","True",,
"66","25","True",,
"66","26","True",,
"66","27","Fałsz","Zgloszone wczesniej",
"66","28","Fałsz","zakłócenie zasilania","Reserved_ImageAttachment_[11]_[ResultImage][32]_[74d4db1daaf2421eab2cbc0074e99724][1]_[1].jpeg"
"66","29","True",,
"66","30","True",,
"67","37","True",,
"67","38","True",,
"67","39","True",,
"67","40","True",,
"67","41","True",,
"67","42","True",,
"68","19","Fałsz","zamek",
"68","20","True",,
"68","21","True",,
"68","22","True",,
"68","23","True",,
"68","24","True",,
"69","25","True",,
"69","26","True",,
"69","27","Fałsz","bród",
"69","28","Fałsz","Zakłócenie",
"69","29","True",,
"69","30","True",,
"69","25","True",,
"69","26","True",,
"69","27","Fałsz","bród",
"69","28","Fałsz","Zakłócenie",
"69","29","True",,
"69","30","True",,
"70","13","True",,
"70","14","True",,
"70","15","Fałsz","bród",
"70","16","True",,
"70","17","True",,
"70","18","True",,
"70","13","True",,
"70","14","True",,
"70","15","Fałsz","bród",
"70","16","True",,
"70","17","True",,
"70","18","True",,
"70","13","True",,
"70","14","True",,
"70","15","Fałsz","bród",
"70","16","True",,
"70","17","True",,
"70","18","True",,
"71","19","Fałsz","zgloszone",
"71","20","True",,
"71","21","True",,
"71","22","True",,
"71","23","True",,
"71","24","True",,
"72","25","True",,
"72","26","True",,
"72","27","Fałsz","Zgloszone",
"72","28","Fałsz","zgloszone",
"72","29","True",,
"72","30","True",,
"73","13","True",,
"73","14","True",,
"73","15","Fałsz","zgloszone",
"73","16","True",,
"73","17","True",,
"73","18","True",,
"74","37","True",,
"74","38","True",,
"74","39","True",,
"74","40","True",,
"74","41","True",,
"74","42","True",,
"74","37","True",,
"74","38","True",,
"74","39","True",,
"74","40","True",,
"74","41","True",,
"74","42","True",,
"75","37","True",,
"75","38","True",,
"75","39","True",,
"75","40","True",,
"75","41","True",,
"75","42","True",,
"76","19","Fałsz","zgloszone",
"76","20","True",,
"76","21","True",,
"76","22","True",,
"76","23","True",,
"76","24","True",,
"77","25","True",,
"77","26","True",,
"77","27","Fałsz","Zgloszone",
"77","28","Fałsz","zgloszone",
"77","29","True",,
"77","30","True",,
"78","13","True",,
"78","14","True",,
"78","15","Fałsz","zgloszone",
"78","16","True",,
"78","17","True",,
"78","18","True",,
"79","37","True",,
"79","38","True",,
"79","39","True",,
"79","40","True",,
"79","41","True",,
"79","42","True",,
"80","19","Fałsz","Zamek",
"80","20","True","20",
"80","21","True",,
"80","22","True",,
"80","23","True",,
"80","24","True",,
"81","13","True",,
"81","14","True",,
"81","15","Fałsz","Zgloszone",
"81","16","True",,
"81","17","True",,
"81","18","True",,
"82","37","True",,
"82","38","True",,
"82","39","True",,
"82","40","True",,
"82","41","True",,
"82","42","True",,
"83","25","True",,
"83","26","True",,
"83","27","Fałsz","Zgloszone",
"83","28","True",,
"83","29","True",,
"83","30","True",,
"84","19","Fałsz","zgloszone",
"84","20","True",,
"84","21","True",,
"84","22","True",,
"84","23","True",,
"84","24","True",,
"85","13","True",,
"85","14","True",,
"85","15","True","zgloszone",
"85","16","True",,
"85","17","True",,
"85","18","True",,
"86","37","True",,
"86","38","True",,
"86","39","True",,
"86","40","True",,
"86","41","True",,
"86","42","True",,
"86","37","True",,
"86","38","True",,
"86","39","True",,
"86","40","True",,
"86","41","True",,
"86","42","True",,
"87","25","True",,
"87","26","True",,
"87","27","Fałsz","zgloszone",
"87","28","True",,
"87","29","True",,
"87","30","True",,
"88","19","True","zgloszone",
"88","20","True",,
"88","21","True",,
"88","22","True",,
"88","23","True",,
"88","24","True",,
"89","13","True",,
"89","14","True",,
"89","15","Fałsz","zgloszone",
"89","16","True",,
"89","17","True",,
"89","18","True",,
"90","37","True",,
"90","38","True",,
"90","39","True",,
"90","40","True",,
"90","41","True",,
"90","42","True",,
"91","25","True",,
"91","26","True",,
"91","27","Fałsz","Zgloszone",
"91","28","True",,
"91","29","True",,
"91","30","True",,
"91","25","True",,
"91","26","True",,
"91","27","Fałsz","Zgloszone",
"91","28","True",,
"91","29","True",,
"91","30","True",,
"92","19","Fałsz","zgloszone",
"92","20","True",,
"92","21","True",,
"92","22","True",,
"92","23","True",,
"92","24","True",,
"93","13","True",,
"93","14","True",,
"93","15","Fałsz","zgloszone",
"93","16","True",,
"93","17","True",,
"93","18","True",,
"94","37","True",,
"94","38","True",,
"94","39","Fałsz","sprzet duzo",
"94","40","True",,
"94","41","True",,
"94","42","True",,
"94","37","True",,
"94","38","True",,
"94","39","Fałsz","sprzet duzo",
"94","40","True",,
"94","41","True",,
"94","42","True",,
"95","25","True",,
"95","26","True",,
"95","27","Fałsz","zgloszone",
"95","28","True",,
"95","29","True",,
"95","30","True",,
"96","19","Fałsz","Zgloszone",
"96","20","True",,
"96","21","True",,
"96","22","True",,
"96","23","True",,
"96","24","True",,
"97","13","True",,
"97","14","True",,
"97","15","Fałsz","zgloszone",
"97","16","True",,
"97","17","True",,
"97","18","True",,
"98","37","True",,
"98","38","True",,
"98","39","Fałsz","syf",
"98","40","True",,
"98","41","True",,
"98","42","True",,
"99","25","True",,
"99","26","True",,
"99","27","Fałsz","zgloszone",
"99","28","True",,
"99","29","True",,
"99","30","True",,
"101","19","Fałsz","Zgloszone",
"101","20","True",,
"101","21","True",,
"101","22","True",,
"101","23","Fałsz","czerwone","Reserved_ImageAttachment_[11]_[ResultImage][32]_[2d756f427faa4c1784799ee7a6bb3acc][1]_[1].jpeg"
"101","24","True",,
"102","13","True",,
"102","14","True",,
"102","15","Fałsz","zgloszone",
"102","16","True",,
"102","17","True",,
"102","18","True",,
"102","13","True",,
"102","14","True",,
"102","15","Fałsz","zgloszone",
"102","16","True",,
"102","17","True",,
"102","18","True",,
"103","25","True",,
"103","26","True",,
"103","27","Fałsz","no zgloszone",
"103","28","True",,
"103","29","True",,
"103","30","True",,
"104","19","Fałsz","zamek",
"104","20","True",,
"104","21","True",,
"104","22","True",,
"104","23","True",,
"104","24","True",,
"105","13","True",,
"105","14","True",,
"105","15","Fałsz","zglaszane",
"105","16","True",,
"105","17","True",,
"105","18","True",,
"106","37","True",,
"106","38","True",,
"106","39","Fałsz","no bajzel",
"106","40","True",,
"106","41","True",,
"106","42","True",,
"107","25","True",,
"107","26","True",,
"107","27","Fałsz","zg",
"107","28","True",,
"107","29","True",,
"107","30","True",,
"108","19","Fałsz","zgl",
"108","20","True",,
"108","21","True",,
"108","22","True",,
"108","23","True",,
"108","24","True",,
"109","13","True",,
"109","14","True",,
"109","15","Fałsz","zgl",
"109","16","True",,
"109","17","True",,
"109","18","True",,
"110","25","True",,
"110","26","True",,
"110","27","Fałsz","zgl",
"110","28","True",,
"110","29","True",,
"110","30","True",,
"111","19","True",,
"111","20","True",,
"111","21","True",,
"111","22","True",,
"111","23","True",,
"111","24","True",,
"112","13","True",,
"112","14","True",,
"112","15","Fałsz","zgl",
"112","16","True",,
"112","17","True",,
"112","18","True",,
"113","37","True",,
"113","38","True",,
"113","39","Fałsz","itemy",
"113","40","True",,
"113","41","True",,
"113","42","True",,
"114","25","True",,
"114","26","True",,
"114","27","True",,
"114","28","True",,
"114","29","True",,
"114","30","True",,
"115","19","Fałsz","Zgl",
"115","20","True",,
"115","21","True",,
"115","22","True",,
"115","23","True",,
"115","24","True",,
"115","19","Fałsz","Zgl",
"115","20","True",,
"115","21","True",,
"115","22","True",,
"115","23","True",,
"115","24","True",,
"116","13","True",,
"116","14","True",,
"116","15","True",,
"116","16","True",,
"116","17","True",,
"116","18","True",,
"117","37","True",,
"117","38","True",,
"117","39","Fałsz","Rzeczy duzo",
"117","40","True",,
"117","41","Fałsz","Blad ups",
"117","42","True",,
"118","37","True",,
"118","38","True",,
"118","39","True",,
"118","40","True",,
"118","41","True",,
"118","42","True",,
"119","25","True",,
"119","26","True",,
"119","27","True",,
"119","28","True",,
"119","29","True",,
"119","30","True",,
"120","19","True",,
"120","20","True",,
"120","21","True",,
"120","22","True",,
"120","23","True",,
"120","24","True",,
"121","13","True",,
"121","14","True",,
"121","15","True",,
"121","16","True",,
"121","17","True",,
"121","18","True",,
"121","13","True",,
"121","14","True",,
"121","15","True",,
"121","16","True",,
"121","17","True",,
"121","18","True",,
"122","13","True",,
"122","14","True",,
"122","15","True",,
"122","16","True",,
"122","17","True",,
"122","18","True",,
"123","13","True",,
"123","14","True",,
"123","15","True",,
"123","16","True",,
"123","17","True",,
"123","18","True",,
"124","25","True",,
"124","26","True",,
"124","27","True",,
"124","28","True",,
"124","29","True",,
"124","30","True",,
"125","19","True",,
"125","20","True",,
"125","21","True",,
"125","22","True",,
"125","23","True",,
"125","24","True",,
"126","19","Fałsz","Klodka",
"126","20","True",,
"126","21","True",,
"126","22","True",,
"126","23","True",,
"126","24","True",,
"127","25","True",,
"127","26","True",,
"127","27","True",,
"127","28","True",,
"127","29","True",,
"127","30","True",,
"128","13","True",,
"128","14","True",,
"128","15","True",,
"128","16","True",,
"128","17","True",,
"128","18","True",,
"129","37","True",,
"129","38","True",,
"129","39","Fałsz","zawalone",
"129","40","True",,
"129","41","True",,
"129","42","True",,
"130","25","True",,
"130","26","True",,
"130","27","True",,
"130","28","True",,
"130","29","True",,
"130","30","True",,
"131","19","Fałsz","zamek",
"131","20","True",,
"131","21","True",,
"131","22","True",,
"131","23","True",,
"131","24","True",,
"132","13","True",,
"132","14","True",,
"132","15","True",,
"132","16","True",,
"132","17","True",,
"132","18","True",,
"133","19","Fałsz","klodka",
"133","20","True",,
"133","21","True",,
"133","22","True",,
"133","23","Fałsz","mpls",
"133","24","True",,
"134","13","True",,
"134","14","True",,
"134","15","True",,
"134","16","True",,
"134","17","True",,
"134","18","True",,
"135","25","True",,
"135","26","True",,
"135","27","True",,
"135","28","True",,
"135","29","True",,
"135","30","True",,
"136","25","True",,
"136","26","True",,
"136","27","True",,
"136","28","True",,
"136","29","True",,
"136","30","True",,
"137","19","Fałsz","Zame",
"137","20","True",,
"137","21","True",,
"137","22","True",,
"137","23","Fałsz","actic
The power input for power supply 2 is lost","Reserved_ImageAttachment_[11]_[ResultImage][32]_[81c3a0b110f34795becf3483c831022a][1]_[1].jpeg"
"137","24","True",,
"138","13","True",,
"138","14","True",,
"138","15","True",,
"138","16","True",,
"138","17","True",,
"138","18","True",,
"139","25","True",,
"139","26","True",,
"139","27","True",,
"139","28","True",,
"139","29","True",,
"139","30","True",,
"140","19","True","zamek",
"140","20","True",,
"140","21","True",,
"140","22","True",,
"140","23","True",,
"140","24","True",,
"141","13","True",,
"141","14","True",,
"141","15","True",,
"141","16","True",,
"141","17","True",,
"141","18","True",,
"142","25","True",,
"142","26","True",,
"142","27","True",,
"142","28","True",,
"142","29","True",,
"142","30","True",,
"143","19","Fałsz","zamek",
"143","20","True",,
"143","21","True",,
"143","22","True",,
"143","23","True",,
"143","24","True",,
"144","13","True",,
"144","14","True",,
"144","15","True",,
"144","16","True",,
"144","17","True",,
"144","18","True",,
"145","19","True","Zamek",
"145","20","True",,
"145","21","True",,
"145","22","True",,
"145","23","True",,
"145","24","True",,
"146","25","True",,
"146","26","True",,
"146","27","True",,
"146","28","True",,
"146","29","True",,
"146","30","True",,
"147","13","True",,
"147","14","True",,
"147","15","True",,
"147","16","True",,
"147","17","True",,
"147","18","True",,
"148","25","True",,
"148","26","True",,
"148","27","True",,
"148","28","True",,
"148","29","True",,
"148","30","True",,
"149","19","True",,
"149","20","True","20",
"149","21","True",,
"149","22","True",,
"149","23","True",,
"149","24","True",,
"150","13","True",,
"150","14","True",,
"150","15","True",,
"150","16","True",,
"150","17","True",,
"150","18","True",,
"151","19","Fałsz","Zamek",
"151","20","True",,
"151","21","True",,
"151","22","True",,
"151","23","True",,
"151","24","True",,
"152","25","True",,
"152","26","True",,
"152","27","True",,
"152","28","True",,
"152","29","True",,
"152","30","True",,
"153","13","True",,
"153","14","True",,
"153","15","True",,
"153","16","True",,
"153","17","True",,
"153","18","True",,
"154","19","True","Zamek",
"154","20","True",,
"154","21","True",,
"154","22","True",,
"154","23","True",,
"154","24","True",,
"155","25","True",,
"155","26","True",,
"155","27","True",,
"155","28","True",,
"155","29","True",,
"155","30","True",,
"156","13","True",,
"156","14","True",,
"156","15","True",,
"156","16","True",,
"156","17","True",,
"156","18","True",,
"157","19","True",,
"157","20","True",,
"157","21","True",,
"157","22","True",,
"157","23","True",,
"157","24","True",,
"158","25","True",,
"158","26","True",,
"158","27","True",,
"158","28","True",,
"158","29","True",,
"158","30","True",,
"159","13","True",,
"159","14","True",,
"159","15","True",,
"159","16","True",,
"159","17","True",,
"159","18","True",,
"160","37","True",,
"160","38","True",,
"160","39","Fałsz","Rzeczy",
"160","40","True",,
"160","41","Fałsz","blad ups",
"160","42","True",,
"161","25","True",,
"161","26","True",,
"161","27","True",,
"161","28","True",,
"161","29","True",,
"161","30","True",,
"162","19","True","zamek",
"162","20","True",,
"162","21","True",,
"162","22","True",,
"162","23","True",,
"162","24","True",,
"163","13","True",,
"163","14","True",,
"163","15","True",,
"163","16","True",,
"163","17","True",,
"163","18","True",,
"164","37","True",,
"164","38","True",,
"164","39","True",,
"164","40","True",,
"164","41","True",,
"164","42","True",,
"165","19","True",,
"165","20","True",,
"165","21","True",,
"165","22","True",,
"165","23","True",,
"165","24","True",,
"166","13","True",,
"166","14","True",,
"166","15","True",,
"166","16","True",,
"166","17","True",,
"166","18","True",,
"167","25","True",,
"167","26","True",,
"167","27","True",,
"167","28","True",,
"167","29","True",,
"167","30","True",,
"168","37","True",,
"168","38","True",,
"168","39","True","Rzeczy",
"168","40","True",,
"168","41","True",,
"168","42","True",,
"169","19","True","zamek",
"169","20","True",,
"169","21","True",,
"169","22","True",,
"169","23","True",,
"169","24","True",,
"170","25","True",,
"170","26","True",,
"170","27","True",,
"170","28","True",,
"170","29","True",,
"170","30","True",,
"171","13","True",,
"171","14","True",,
"171","15","True",,
"171","16","True",,
"171","17","True",,
"171","18","True",,
"171","13","True",,
"171","14","True",,
"171","15","True",,
"171","16","True",,
"171","18","True",,
"172","19","True","Zamek",
"172","20","True",,
"172","21","True",,
"172","22","True",,
"172","23","True",,
"172","24","True",,
"173","25","True",,
"173","26","True",,
"173","27","True",,
"173","28","True",,
"173","29","True",,
"173","30","True",,
"174","13","True",,
"174","14","True",,
"174","15","True",,
"174","16","True",,
"174","17","True",,
"174","18","True",,
"175","25","True",,
"175","26","True",,
"175","27","True",,
"175","28","True",,
"175","29","True",,
"175","30","True",,
